setup,run,decode_ms,pre_ms,infer_ms,post_ms,total
npu,40,1.02,0.876,2.221,0.011,4.128
npu,41,1.05,0.937,2.214,0.011,4.212000000000001
npu,42,1.03,0.954,2.213,0.011,4.208
npu,43,0.957,0.852,2.268,0.011,4.088
npu,44,0.988,0.919,2.22,0.011,4.138000000000001
npu,45,1.01,0.946,2.218,0.012,4.185999999999999
npu,46,0.982,0.87,2.226,0.012,4.089999999999999
npu,47,0.976,0.887,2.275,0.012,4.15
npu,48,1.012,0.915,2.216,0.011,4.154000000000001
npu,49,1.007,0.931,2.214,0.011,4.163
npu,50,0.999,0.916,2.21,0.011,4.136
npu,51,0.985,0.919,2.257,0.011,4.172
npu,52,1.02,0.853,2.212,0.011,4.096
npu,53,1.001,0.87,2.219,0.011,4.101
npu,54,1.011,0.93,2.251,0.011,4.203
npu,55,0.955,0.84,2.306,0.011,4.112
npu,56,1.006,0.953,2.196,0.011,4.166
npu,57,1.01,0.97,2.205,0.011,4.196000000000001
npu,58,0.993,0.906,2.212,0.011,4.122000000000001
npu,59,0.976,0.923,2.241,0.011,4.151000000000001
npu,60,1.021,0.946,2.219,0.011,4.197
npu,61,1.027,0.884,2.21,0.01,4.131
npu,62,1.05,0.924,2.208,0.011,4.1930000000000005
npu,63,1.004,0.889,2.266,0.011,4.17
npu,64,1.028,0.888,2.222,0.011,4.149
npu,65,1.03,0.956,2.238,0.012,4.236
npu,66,1.038,0.905,2.236,0.012,4.191
npu,67,0.967,0.847,2.276,0.011,4.101
npu,68,1.006,0.919,2.209,0.011,4.1450000000000005
npu,69,1.021,0.965,2.208,0.011,4.205
npu,70,0.976,0.903,2.225,0.011,4.115
npu,71,1.01,0.915,2.227,0.011,4.163
npu,72,0.999,0.924,2.214,0.011,4.148000000000001
npu,73,1.001,0.903,2.224,0.011,4.139
npu,74,0.975,0.897,2.234,0.011,4.117
npu,75,1.006,0.903,2.213,0.01,4.132
npu,76,0.996,0.87,2.219,0.011,4.096
npu,77,1.004,0.951,2.209,0.011,4.175
npu,78,0.995,0.922,2.24,0.011,4.168
npu,79,1.005,0.865,2.241,0.011,4.122
npu,80,1.005,0.953,2.207,0.01,4.174999999999999
npu,81,1.024,0.963,2.204,0.011,4.202000000000001
npu,82,0.984,0.923,2.213,0.01,4.13
npu,83,0.993,0.942,2.211,0.01,4.156
npu,84,1.02,0.94,2.206,0.01,4.176
npu,85,1.055,0.897,2.218,0.011,4.181
npu,86,1.005,0.907,2.223,0.011,4.146
npu,87,1.04,0.896,2.217,0.01,4.163
npu,88,1.037,0.887,2.204,0.011,4.139
npu,89,1.021,0.926,2.208,0.011,4.166
npu,90,1.004,0.905,2.242,0.011,4.162
npu,91,0.979,0.85,2.232,0.011,4.072
npu,92,1.004,0.913,2.213,0.011,4.141
npu,93,1.027,0.935,2.211,0.011,4.184
npu,94,0.974,0.885,2.245,0.011,4.115
npu,95,1.008,0.914,2.234,0.01,4.166
npu,96,1.013,0.929,2.211,0.011,4.164
npu,97,0.987,0.884,2.224,0.011,4.106000000000001
npu,98,0.986,0.932,2.227,0.011,4.156
npu,99,0.992,0.914,2.236,0.011,4.1530000000000005
npu,100,0.993,0.881,2.224,0.011,4.109000000000001
