device,precision,run,latency_ms,mem_mb,power_w
cpu,int8,28,5.964,84.7,7.33
cpu,int8,29,5.854,84.7,7.33
cpu,int8,30,6.065,84.7,7.33
cpu,int8,31,5.894,84.7,7.33
cpu,int8,32,5.899,84.7,7.33
cpu,int8,33,5.872,84.7,7.33
cpu,int8,34,5.917,84.7,7.33
cpu,int8,35,5.86,84.7,7.33
cpu,int8,36,5.875,84.7,7.33
cpu,int8,37,5.891,84.7,7.33
cpu,int8,38,5.874,84.7,7.33
cpu,int8,39,5.861,84.7,7.33
cpu,int8,40,5.898,84.7,7.33
cpu,int8,41,5.863,84.7,7.33
cpu,int8,42,5.901,84.7,7.33
cpu,int8,43,5.906,84.7,7.33
cpu,int8,44,5.876,84.7,7.33
cpu,int8,45,5.907,84.7,7.33
cpu,int8,46,5.9,84.7,7.33
cpu,int8,47,5.901,84.7,7.33
cpu,int8,48,5.927,84.7,7.33
cpu,int8,49,5.91,84.7,7.33
cpu,int8,50,5.899,84.7,7.33
cpu,int8,51,6.81,84.7,7.33
cpu,int8,52,5.87,84.7,7.33
cpu,int8,53,5.901,84.7,7.33
cpu,int8,54,5.881,84.7,7.33
cpu,int8,55,5.952,84.7,7.33
cpu,int8,56,5.917,84.7,7.33
cpu,int8,57,5.903,84.7,7.33
cpu,int8,58,5.874,84.7,7.33
cpu,int8,59,5.918,84.7,7.33
cpu,int8,60,5.969,84.7,7.33
cpu,int8,61,5.922,84.7,7.33
cpu,int8,62,5.915,84.7,7.33
cpu,int8,63,6.052,84.7,7.33
cpu,int8,64,5.94,84.7,7.33
cpu,int8,65,5.951,84.7,7.33
cpu,int8,66,6.042,84.7,7.33
cpu,int8,67,5.931,84.7,7.33
cpu,int8,68,5.887,84.7,7.33
cpu,int8,69,5.897,84.7,7.33
cpu,int8,70,5.947,84.7,7.33
cpu,int8,71,5.886,84.7,7.33
cpu,int8,72,5.933,84.7,7.33
cpu,int8,73,5.879,84.7,7.33
cpu,int8,74,5.909,84.7,7.33
cpu,int8,75,5.863,84.7,7.33
cpu,int8,76,5.9,84.7,7.33
cpu,int8,77,5.871,84.7,7.33
cpu,int8,78,5.897,84.7,7.33
cpu,int8,79,5.873,84.7,7.33
cpu,int8,80,5.904,84.7,7.33
cpu,int8,81,5.877,84.7,7.33
cpu,int8,82,5.934,84.7,7.33
cpu,int8,83,5.884,84.7,7.33
cpu,int8,84,5.886,84.7,7.33
cpu,int8,85,5.893,84.7,7.33
cpu,int8,86,5.939,84.7,7.33
cpu,int8,87,5.885,84.7,7.33
cpu,int8,88,5.907,84.7,7.33
cpu,int8,89,5.882,84.7,7.33
cpu,int8,90,5.928,84.7,7.33
cpu,int8,91,5.912,84.7,7.33
cpu,int8,92,5.916,84.7,7.33
cpu,int8,93,5.852,84.7,7.33
cpu,int8,94,5.894,84.7,7.33
cpu,int8,95,5.877,84.7,7.33
cpu,int8,96,6.025,84.7,7.33
cpu,int8,97,5.87,84.7,7.33
cpu,int8,98,5.912,84.7,7.33
cpu,int8,99,5.877,84.7,7.33
cpu,int8,100,5.929,84.7,7.33
npu,int8,1,2.213,177.0,2.33
npu,int8,2,2.261,177.0,2.33
npu,int8,3,2.222,177.0,2.33
npu,int8,4,2.21,177.0,2.33
npu,int8,5,2.222,177.0,2.33
npu,int8,6,2.365,177.0,2.33
npu,int8,7,2.367,177.0,2.33
npu,int8,8,2.269,177.0,2.33
npu,int8,9,2.496,177.0,2.33
npu,int8,10,2.456,177.0,2.33
npu,int8,11,2.229,177.0,2.33
npu,int8,12,2.293,177.0,2.33
npu,int8,13,2.237,177.0,2.33
npu,int8,14,2.23,177.0,2.33
npu,int8,15,2.209,177.0,2.33
npu,int8,16,2.218,177.0,2.33
npu,int8,17,2.235,177.0,2.33
npu,int8,18,2.229,177.0,2.33
npu,int8,19,2.218,177.0,2.33
npu,int8,20,2.304,177.0,2.33
npu,int8,21,2.196,177.0,2.33
npu,int8,22,2.246,177.0,2.33
npu,int8,23,2.228,177.0,2.33
npu,int8,24,2.212,177.0,2.33
npu,int8,25,2.27,177.0,2.33
npu,int8,26,2.215,177.0,2.33
npu,int8,27,2.264,177.0,2.33
npu,int8,28,2.219,177.0,2.33
npu,int8,29,2.217,177.0,2.33
npu,int8,30,2.236,177.0,2.33
npu,int8,31,2.276,177.0,2.33
